Word,Level,Category,Details
cattle,B1,animals,/american-english/words/usdetail/815
clothes,A1,clothes,/american-english/words/usdetail/968
albeit,C2,,/american-english/words/usdetail/155
and,A1,communication,/american-english/words/usdetail/225
and,A1,communication,/american-english/words/usdetail/225
because,A1,communication,/american-english/words/usdetail/490
but,A1,communication,/american-english/words/usdetail/716
and,A2,communication,/american-english/words/usdetail/225
as,A2,communication,/american-english/words/usdetail/327
although,B1,communication,/american-english/words/usdetail/189
although,B1,communication,/american-english/words/usdetail/189
and,B1,communication,/american-english/words/usdetail/225
close,B1,describing things,/american-english/words/usdetail/961
as,A1,work,/american-english/words/usdetail/327
and,A1,,/american-english/words/usdetail/225
as,A2,,/american-english/words/usdetail/327
before,A2,,/american-english/words/usdetail/498
after,B1,,/american-english/words/usdetail/124
as,B1,,/american-english/words/usdetail/327
as,B1,,/american-english/words/usdetail/327
as,B1,,/american-english/words/usdetail/327
before,B1,,/american-english/words/usdetail/498
before,B1,,/american-english/words/usdetail/498
but,B1,,/american-english/words/usdetail/716
couch,A2,homes and buildings,/american-english/words/usdetail/1249
eight,A1,,/american-english/words/usdetail/1848
eighteen,A1,,/american-english/words/usdetail/1849
eleven,A1,,/american-english/words/usdetail/1877
fifteen,A1,,/american-english/words/usdetail/2219
eighth,A2,,/american-english/words/usdetail/1850
eighty,A2,,/american-english/words/usdetail/1851
fifth,A2,,/american-english/words/usdetail/2220
insofar as,C2,,/american-english/words/usdetail/3044
five,A1,,/american-english/words/usdetail/2265
four,A1,,/american-english/words/usdetail/2361
fourteen,A1,,/american-english/words/usdetail/2362
fifty,A2,,/american-english/words/usdetail/2221
forty,A2,,/american-english/words/usdetail/2354
fourth,A2,,/american-english/words/usdetail/2363
hundred,A2,,/american-english/words/usdetail/2818
if,A2,,/american-english/words/usdetail/2856
if,B1,,/american-english/words/usdetail/2856
if,B1,,/american-english/words/usdetail/2856
if,B1,,/american-english/words/usdetail/2856
if,B2,,/american-english/words/usdetail/2856
however,C2,,/american-english/words/usdetail/2803
million,A2,,/american-english/words/usdetail/3623
like,B1,,/american-english/words/usdetail/3382
or,A1,communication,/american-english/words/usdetail/4005
or,A2,communication,/american-english/words/usdetail/4005
or,B1,communication,/american-english/words/usdetail/4005
or,B2,communication,/american-english/words/usdetail/4005
only,C2,communication,/american-english/words/usdetail/3980
nine,A1,,/american-english/words/usdetail/3846
nineteen,A1,,/american-english/words/usdetail/3847
one,A1,,/american-english/words/usdetail/3975
ninety,A2,,/american-english/words/usdetail/3848
ninth,A2,,/american-english/words/usdetail/3849
now,B2,,/american-english/words/usdetail/3897
once,B2,,/american-english/words/usdetail/3974
or,C2,,/american-english/words/usdetail/4005
seventy,A2,,/american-english/words/usdetail/5222
provided (that),B2,communication,/american-english/words/usdetail/4557
second,B1,describing things,/american-english/words/usdetail/5133
politically,C1,,/american-english/words/usdetail/4335
second,A1,,/american-english/words/usdetail/5133
seven,A1,,/american-english/words/usdetail/5219
seventeen,A1,,/american-english/words/usdetail/5220
seventh,A2,,/american-english/words/usdetail/5221
plus,B1,,/american-english/words/usdetail/4311
second,B1,,/american-english/words/usdetail/5133
so,A2,communication,/american-english/words/usdetail/5426
six,A1,,/american-english/words/usdetail/5353
sixteen,A1,,/american-english/words/usdetail/5354
ten,A1,,/american-english/words/usdetail/5920
thirteen,A1,,/american-english/words/usdetail/5992
three,A1,,/american-english/words/usdetail/6007
to,A1,,/american-english/words/usdetail/6052
twelve,A1,,/american-english/words/usdetail/6201
twenty,A1,,/american-english/words/usdetail/6202
two,A1,,/american-english/words/usdetail/6206
sixth,A2,,/american-english/words/usdetail/5355
sixty,A2,,/american-english/words/usdetail/5356
so,A2,,/american-english/words/usdetail/5426
that,A2,,/american-english/words/usdetail/5957
third,A2,,/american-english/words/usdetail/5988
thirty,A2,,/american-english/words/usdetail/5993
thousand,A2,,/american-english/words/usdetail/6003
to,A2,,/american-english/words/usdetail/6052
to,A2,,/american-english/words/usdetail/6052
since,B1,,/american-english/words/usdetail/5334
since,B1,,/american-english/words/usdetail/5334
though,B1,,/american-english/words/usdetail/5998
till,B1,,/american-english/words/usdetail/6035
unless,B1,,/american-english/words/usdetail/6316
until,B1,,/american-english/words/usdetail/6357
